,,path_cost,path_cost,latency,latency,hops,hops,packet_loss,packet_loss,bandwidth,bandwidth,reliability,reliability,congestion,congestion
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
regime,algorithm,,,,,,,,,,,,,,
Congestion,Dijkstra,1.0836830746233979,0.5633237174799669,126.42131829650401,74.70773867779367,2.08,0.9539392014169457,0.14227518217154064,0.053423732906820745,34.43369002868977,25.141626583710764,0.6948809693851326,0.08053848226760743,0.8036965021849544,0.21498579825590516
Congestion,QT-APP,1.3878940158331512,0.6910925217797658,141.25616591611225,72.24443692320834,2.48,1.1224972160321824,0.14535989837357075,0.04992750576923019,30.24871722906512,17.63336047262998,0.6754716656612938,0.09303913105303573,0.8541114151033028,0.20547386412633156
Congestion,QT-APP without adaptation,1.391257018402869,0.6951416012912491,140.7956585156231,71.70241826066419,2.48,1.1224972160321824,0.14514726050965177,0.04990088404975488,30.346527153877254,17.63177613938253,0.6747326550176562,0.09264279546017369,0.8569550975245509,0.20542712991639983
Congestion,QT-APP without tunneling,1.3916534323838738,0.6957268196213287,140.36582958012977,71.29715191421585,2.52,1.1944315244779276,0.14500569628933452,0.049950391111098634,30.70152139699651,17.87466379781171,0.6773711384906868,0.09439624906701062,0.8568695731151692,0.20544980220139808
Normal,Dijkstra,1.00633936598027,0.4743051978921151,63.30295155541737,38.75397627082825,2.0,0.9035079029052513,0.03668394890519136,0.016601146565452057,61.45764193222921,20.637879177266427,0.8427775784597015,0.05486624549534817,0.27774095645220453,0.16270860600680942
Normal,QT-APP,1.3923628021968102,0.6304847673466645,81.551470431437,43.27567792133492,2.88,1.3346252244716188,0.042625568645947236,0.014997832333902372,63.26920356318378,14.94597469289757,0.865817849156397,0.042955608861944036,0.3134998332953086,0.13654273226020008
Normal,QT-APP without adaptation,1.3932805280490188,0.6309852486494559,81.28185028080618,43.1415751742085,2.9,1.359021256460032,0.042531725984961063,0.01501651356532068,63.749514212471055,15.015167046606534,0.8649248446437343,0.04254418828647503,0.31297002668348917,0.13713514697855322
Normal,QT-APP without tunneling,1.414222389922167,0.6207325811450665,82.15339281693406,42.61127934628486,2.92,1.3376799897965286,0.04238456330017297,0.014523206711857944,64.25573792168265,15.09934566164889,0.8633566601451774,0.04469227002650334,0.32047290239566456,0.1351120967965856
Post-congestion,Dijkstra,1.2310707874907232,0.6206127169644624,164.41143116214846,83.30444321496654,2.04,0.9345230512584124,0.21795934478819315,0.018843397721199556,19.02606696191497,10.65026150737697,0.5843837835814965,0.04086452166351569,0.9706554058926988,0.02441754713729564
Post-congestion,QT-APP,1.5373100169172351,0.7614688690665686,195.70603486313203,108.77126497781725,2.52,1.2948616399703354,0.21238174637308507,0.014299353348624911,14.46358474007274,7.700032312243436,0.567910071745948,0.04969901676068751,0.979955955941116,0.015108857934461208
Post-congestion,QT-APP without adaptation,1.5399736654257339,0.7682824538403643,195.46836265792666,108.24066034874896,2.52,1.2948616399703354,0.2118745321510203,0.013802486858093141,14.174346885961286,7.47770278713629,0.570116832630069,0.05000592434089365,0.9805280160074581,0.01514598818747299
Post-congestion,QT-APP without tunneling,1.5399736654257339,0.7682824538403643,195.46836265792666,108.24066034874896,2.52,1.2948616399703354,0.2118745321510203,0.013802486858093141,14.174346885961286,7.47770278713629,0.570116832630069,0.05000592434089365,0.9805280160074581,0.01514598818747299
Recovery,Dijkstra,1.1108473620343706,0.5131344518695771,146.71770429466758,74.35891277730423,2.0,0.9258200997725515,0.1988950058912077,0.02136830765049675,32.207250128251836,9.460427499809283,0.6188177562341125,0.04051530829845994,0.7776397023351946,0.1031209589125755
Recovery,QT-APP,1.4214049924165082,0.5237780804751405,177.8054294525863,73.99416060837123,2.533333333333333,0.9904304018720251,0.1995042882501739,0.027073794744635973,27.642525108375334,8.982659430737206,0.6216970974633365,0.046575858288403396,0.773823576834733,0.07518059903857967
Recovery,QT-APP without adaptation,1.4443974050293125,0.5246007139655172,180.2756520692972,73.88325118445759,2.6,0.9856107606091623,0.19532209003902395,0.022839090090145266,27.384500530574382,8.963026944234185,0.6236282422012849,0.04545219104921695,0.7756157357404659,0.07485411910277866
Recovery,QT-APP without tunneling,1.4443974050293125,0.5246007139655172,180.2756520692972,73.88325118445759,2.6,0.9856107606091623,0.19532209003902395,0.022839090090145266,27.384500530574382,8.963026944234185,0.6236282422012849,0.04545219104921695,0.7756157357404659,0.07485411910277866
Stable,Dijkstra,1.0614592696212477,0.4677905814985988,140.79093839339575,70.52815833291712,2.0,0.8997354108424375,0.18226880492351705,0.01628276985136844,40.18914304122392,11.65059884408624,0.6413171996507313,0.03485865687135665,0.686217089249802,0.09224865335559548
Stable,QT-APP,1.2953166269610268,0.5947826489233075,167.32641796065056,84.07224893657836,2.5176470588235293,1.1711996770292372,0.18305137829829596,0.020830962301021282,34.13953457667941,10.708332137059537,0.6237248947113739,0.05125202359842191,0.6440836817013315,0.06819185137255515
Stable,QT-APP without adaptation,1.2965301245463423,0.595237477725143,167.73027347924744,84.17665246841806,2.5176470588235293,1.1711996770292372,0.1828836717970685,0.020921828229022894,34.170819297199444,10.731378674370413,0.6231344932696126,0.05172592894918708,0.6435539270593162,0.06828547178687512
Stable,QT-APP without tunneling,1.3179218776412198,0.5888508899500692,171.74458598765267,84.71965089806521,2.552941176470588,1.1599043716016006,0.18398336601504348,0.023068723764224752,35.128633619120265,10.274636537260077,0.6232076489720964,0.05353661082111016,0.6426911714496902,0.0674697239432445
