regime,algorithm,path_cost_change_percent,latency_change_percent,hops_change_percent,packet_loss_change_percent,bandwidth_change_percent,reliability_change_percent,congestion_change_percent
Congestion,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congestion,QT-APP,7.692855901888588,97.83170975118034,81.8181818181818,57.96374955150777,1.9175788661767568,-6.872761197017439,-7.231716810481485
Congestion,QT-APP without adaptation,4.555443714693726,72.17291167253556,67.27272727272727,46.70072826583282,11.108356833217895,-5.1260928851709116,-6.367973678819531
Congestion,QT-APP without tunneling,7.692855901888588,97.83170975118034,81.8181818181818,57.96374955150777,1.9175788661767568,-6.872761197017439,-7.231716810481485
Normal,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,QT-APP,-13.336329825411497,94.88908107743515,88.18181818181814,65.5400683328775,7.0621094654039736,-4.884451845335146,-35.41385772658738
Normal,QT-APP without adaptation,-15.583930824316134,92.29480303450714,81.8181818181818,59.96583452806379,9.778838205180355,-4.453643537347587,-40.40196611048156
Normal,QT-APP without tunneling,-8.34083465752369,88.91331438564742,79.99999999999999,58.90240169419131,1.1368455172649616,-5.052471649199529,-28.701781689277517
Post-congestion,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Post-congestion,QT-APP,14.964935897098902,78.22719151186249,78.18181818181816,51.60964853221469,11.314171131738338,-6.119873586713505,2.6247626082359488
Post-congestion,QT-APP without adaptation,7.465600248943138,44.254525027944105,39.99999999999999,26.203017037859233,15.33711593162602,-4.995931587615238,0.9716727175809822
Post-congestion,QT-APP without tunneling,14.964935897098902,78.22719151186249,78.18181818181816,51.60964853221469,11.314171131738338,-6.119873586713505,2.6247626082359488
Recovery,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recovery,QT-APP,6.3549011976819045,79.2475949235833,75.75757575757575,51.61123132223378,10.98160342827592,-5.952543739298047,5.871431569817409
Recovery,QT-APP without adaptation,0.3308494322032203,56.39612080017603,57.57575757575757,38.052150753698946,21.656721401996514,-5.264659839079447,4.428864157198807
Recovery,QT-APP without tunneling,6.3549011976819045,79.2475949235833,75.75757575757575,51.61123132223378,10.98160342827592,-5.952543739298047,5.871431569817409
Stable,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stable,QT-APP,9.58278224621256,84.09509448101747,89.83957219251336,62.28879677499517,12.9407588183089,-8.455416712943673,15.502355073566173
Stable,QT-APP without adaptation,7.707452589325954,66.91959523933605,64.70588235294117,43.69128447845917,13.900178733121063,-7.173595682893833,12.623561750783471
Stable,QT-APP without tunneling,9.58278224621256,84.09509448101747,89.83957219251336,62.28879677499517,12.9407588183089,-8.455416712943673,15.502355073566173
