algorithm,regime,path_cost,path_cost,latency,latency,hops,hops,packet_loss,packet_loss,bandwidth,bandwidth,reliability,reliability,congestion,congestion,tunneling_probability,tunneling_probability,energy,energy,kappa,kappa
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dijkstra,Congestion,0.4978162059435093,0.1043443568287241,159.47719736190078,131.69627587172022,2.2,1.190238071423808,0.2995116389637089,0.14673389146616744,19.51809584987106,13.624007491339029,0.7451258213565793,0.09936949441822321,0.8844886792700037,0.15778141529430872,0.0,0.0,0.45,0.0,1.2,0.0
Dijkstra,Normal,0.4903338637139031,0.10613552530504318,83.62985033776823,58.619486120293665,2.2,1.1780301787479033,0.13975717917516117,0.06479397366208048,55.97665417135474,15.388921688875252,0.9071707311061636,0.06838162055380864,0.44462219969216016,0.12440001588885417,0.0,0.0,0.45,0.0,1.2,0.0
Dijkstra,Post-congestion,0.49672827495181565,0.12147427751427671,236.45119852469102,169.0971456236441,2.2,1.190238071423808,0.38351197638039963,0.16138274075828712,7.236302381432683,2.540338069335233,0.635094323470806,0.06288504435406742,0.9566367668881124,0.027334436389597195,0.0,0.0,0.45,0.0,1.2,0.0
Dijkstra,Recovery,0.43985798010648036,0.083717404255053,177.19980569992623,130.2810211895787,2.2,1.2071217242444348,0.32493682688923214,0.16025179985252783,10.101107435377351,3.7499089891425745,0.7090805654633847,0.06496432005545749,0.713975413977365,0.10340356505751708,0.0,0.0,0.45,0.0,1.2,0.0
Dijkstra,Stable,0.44598929318637903,0.0682732455389462,159.15490794644447,112.52559148825466,2.2,1.1731114508820022,0.3085822334504783,0.14446231119185676,11.506568966170493,4.0110954763589515,0.7450552766991755,0.06083021780507102,0.589599331529958,0.03653996787235578,0.0,0.0,0.45,0.0,1.2,0.0
QT-APP,Congestion,0.5361124893229924,0.11645699049566845,315.4964662043126,155.18638855340822,4.0,1.2247448713915894,0.4731198152502493,0.15163151905895297,19.89237073096831,11.934576508495246,0.6939151030374269,0.10395069500767525,0.8205249627644292,0.19693353948949424,0.9848256747478268,0.06619052582939466,0.8804000000000003,0.08388881530533934,0.9107999999999997,0.06422097269065098
QT-APP,Normal,0.42494132240333327,0.07500794226336799,162.9854468297108,54.287004937643225,4.14,0.9899494936611664,0.23135412990666385,0.07935662504065563,59.92978676400643,10.048088139107852,0.8628604135903083,0.032672388390435333,0.28716432647235535,0.102303195999804,0.7648660739503849,0.30983527478774947,0.6314000000000001,0.11430374857709405,1.0801999999999998,0.080571681863837
QT-APP,Post-congestion,0.57106334288112,0.07522389224070337,421.4203304266952,180.18608068218995,3.92,1.4696938456699071,0.5814411594692741,0.14739598806562412,8.055030016478034,2.2922720220038655,0.5962273537179993,0.05198515859102705,0.9817462110420289,0.018838631001551615,1.0,0.0,0.9840000000000002,0.027080128015453054,0.8039999999999996,0.05951190357119052
QT-APP,Recovery,0.4678105201523665,0.08567519528310168,317.62638992638045,167.03921898648287,3.8666666666666667,1.505545305418162,0.49264072426616007,0.1901044607997591,11.210370995794584,3.301151397705853,0.6668722346573148,0.05540212193458462,0.7558959918343665,0.09152831499800478,1.0,0.0,0.998,0.005606119105813905,0.7279999999999995,0.0595459006625502
